Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
109,0.846891,2.55077,1.01241,0.892488,0.40853,0,0.981546,0.02232,0.0251152,0,0.0336,0.792784,-0.462536,0.936111,1.05384,0.482387,0,1.159
110,0.816272,2.46988,1.05627,0.911665,0.358721,0,0.9797,0.02723,0.0271964,0,0.0384853,0.752783,-0.551823,0.922221,1.11686,0.439462,0,1.20021
111,0.791194,2.40319,1.09256,0.923883,0.31474,0,0.976023,0.0326,0.0291602,0,0.0437387,0.720469,-0.623952,0.91061,1.16771,0.397804,0,1.23361
112,0.770702,2.34842,1.12265,0.931551,0.276474,0,0.971712,0.03844,0.0310153,0,0.0493922,0.694337,-0.682284,0.900915,1.2087,0.35873,0,1.26081
113,0.753828,2.30312,1.14773,0.936189,0.243267,0,0.967279,0.04474,0.0327632,0,0.0554535,0.673015,-0.729878,0.892796,1.24191,0.322708,0,1.28316
114,0.740026,2.26591,1.16836,0.938814,0.214476,0,0.963001,0.05149,0.0344064,0,0.0619275,0.655733,-0.768454,0.886094,1.26862,0.289822,0,1.30131
115,0.729039,2.23619,1.18488,0.94028,0.189541,0,0.959193,0.05869,0.0359501,0,0.0688253,0.642076,-0.798938,0.880715,1.28975,0.259987,0,1.31569
116,0.72048,2.21297,1.19777,0.941095,0.16791,0,0.955956,0.06633,0.0373978,0,0.0761463,0.631507,-0.822528,0.87651,1.30621,0.233053,0,1.32683
117,0.713787,2.19475,1.2078,0.941493,0.14909,0,0.953224,0.0744,0.0387531,0,0.0838878,0.623304,-0.84084,0.873235,1.31901,0.208872,0,1.33545
118,0.708491,2.18031,1.21577,0.941669,0.132695,0,0.950972,0.0829,0.0400217,0,0.0920551,0.616835,-0.855279,0.870632,1.32912,0.187292,0,1.34225
