"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
109, 2.232000045500000e-02, 1.996982501531201e-02, 9.132354758349259e-01, -7.331621580651736e-01, -5.607254706956869e-01, 2.291195729404628e-01, 0.000000000000000e+00, 0.000000000000000e+00, -9.189656104952319e-03
110, 2.723000012300000e-02, 2.145625459563465e-02, 8.217708303477200e-01, -6.801935383599185e-01, -4.447281006392864e-01, 2.085834851163987e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.361933990305883e-01
111, 3.260000050100000e-02, 2.284503482498432e-02, 6.630539793115262e-01, -5.588689991989088e-01, -3.422697622856240e-01, 1.696718248623135e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.562162324065603e-01
112, 3.844000026600000e-02, 2.414663552676681e-02, 5.392691443830711e-01, -4.599372947909463e-01, -2.730566878608434e-01, 1.380343638683667e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.841263700399409e-01
113, 4.473999887700000e-02, 2.536588610394960e-02, 4.587800794983226e-01, -3.950913762614175e-01, -2.253750329367593e-01, 1.169885897137193e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.233036581216786e-01
114, 5.149000138000000e-02, 2.650813550694935e-02, 4.011678013362645e-01, -3.486106322330755e-01, -1.887351554377020e-01, 1.019917656935862e-01, 0.000000000000000e+00, 0.000000000000000e+00, -8.832381896567280e-02
115, 5.869000032500000e-02, 2.758039258661810e-02, 3.565337153215006e-01, -3.123541577728396e-01, -1.595110606967168e-01, 9.041287337848522e-02, 0.000000000000000e+00, 0.000000000000000e+00, -6.472500591896282e-02
116, 6.633000075800000e-02, 2.858789456451265e-02, 3.216139502045164e-01, -2.837655815886282e-01, -1.361660837758404e-01, 8.139241665474237e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.659322118586876e-02
117, 7.440000027400000e-02, 2.953600579443039e-02, 2.936638035655413e-01, -2.606992118412521e-01, -1.171526921727225e-01, 7.419230941561449e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.343979310385254e-02
118, 8.290000259900000e-02, 3.043109807364162e-02, 2.700468165781694e-01, -2.410094978092991e-01, -1.013919832135543e-01, 6.815116120308928e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.435953246752283e-02
119, 9.181000292300000e-02, 3.127727376042147e-02, 2.493753579131276e-01, -2.235788448610312e-01, -8.817709302887441e-02, 6.288940598315215e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.869324844367336e-02
120, 1.011300012470000e-01, 3.208054394607388e-02, 2.311454343270847e-01, -2.080354843932575e-01, -7.708555375797800e-02, 5.825113547693939e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.548443654291358e-02
121, 1.108499988910000e-01, 3.284568180170065e-02, 2.152422863213041e-01, -1.943504220697185e-01, -6.780000235447751e-02, 5.421340758683282e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.239687388346800e-02
122, 1.209499984980000e-01, 3.357657599698542e-02, 2.017954259683161e-01, -1.826916548629043e-01, -6.004779405092577e-02, 5.078290176708927e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.503607404447410e-03
123, 1.314399987460000e-01, 3.427900935831447e-02, 1.907207673218079e-01, -1.730350082925354e-01, -5.361661410304329e-02, 4.795965087347415e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.957368163798798e-04
