"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         304,      -5.897400899,      -3.754808922,      -4.954499825,      -1.786784248
          0,           0,         305,      -5.899763135,      -3.759934839,      -4.963087782,      -1.805686316
          0,           0,         306,      -5.904036203,       -3.76847125,      -4.968996855,      -1.803703668
          0,           0,         307,      -5.906419374,      -3.773623437,        -4.9776096,      -1.822513785
          0,           0,         308,      -5.910703796,      -3.782152691,      -4.983400158,       -1.82060583
          0,           0,         309,      -5.913108554,      -3.787333423,      -4.992049409,      -1.839300015
          0,           0,         310,      -5.917405247,      -3.795857388,      -4.997703254,      -1.837442301
          0,           0,         311,      -5.919832224,      -3.801069003,      -5.006401369,       -1.85599926
          0,           0,         312,      -5.924142058,      -3.809589789,      -5.011901289,      -1.854164958
          0,           0,         313,      -5.926591861,      -3.814834633,      -5.020661065,      -1.872566538
          0,           0,         314,      -5.930915664,      -3.823354525,      -5.025991206,       -1.87072689
          0,           0,         315,      -5.933861488,      -3.829968704,      -5.030323988,      -1.871281367
          0,           0,         316,      -5.938102873,      -3.838259691,       -5.03639982,       -1.87582227
          0,           0,         317,      -5.941065346,      -3.844794267,      -5.041464865,      -1.879557337
          0,           0,         318,      -5.945343701,       -3.85303558,      -5.047560844,      -1.886742647
          0,           0,         319,       -5.94836122,      -3.859587613,      -5.052580532,      -1.892461289
          0,           0,         320,      -5.952682514,      -3.867839203,      -5.058595556,      -1.900828911
          0,           0,         321,      -5.955750037,      -3.874446229,      -5.063696979,      -1.907173095
          0,           0,         322,      -5.960109058,      -3.882730799,      -5.069787074,      -1.915843121
          0,           0,         323,      -5.963220439,      -3.889405235,      -5.075112022,       -1.92233132
          0,           0,         324,      -5.967612099,      -3.897729927,      -5.081408227,      -1.931054584
          0,           0,         325,      -5.970762793,      -3.904473954,      -5.087046353,      -1.937525022
          0,           0,         326,      -5.975183474,      -3.912839247,      -5.093603672,       -1.94617423
          0,           0,         327,      -5.978370502,      -3.919650463,      -5.099563756,      -1.952535917
          0,           0,         328,      -5.982817804,      -3.928054139,      -5.106370385,      -1.961053877
