"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         276,      -14.04820124,      -13.90616472,      -14.17162998
          0,           0,         277,      -13.94069369,      -13.82169986,      -14.09178072
          0,           0,         278,      -14.11159409,      -13.98640565,      -14.19829196
          0,           0,         279,      -14.11825152,      -14.00422376,      -14.16910638
          0,           0,         280,      -14.01786536,      -13.90354175,      -14.15287684
          0,           0,         281,      -14.06039222,      -13.91581086,      -14.14379578
          0,           0,         282,      -13.98534224,      -13.85478269,      -14.14811951
          0,           0,         283,      -14.09041197,       -13.9724467,      -14.15349491
          0,           0,         284,       -14.0429591,      -13.90858207,      -14.18271168
          0,           0,         285,      -14.07223131,      -13.95397532,      -14.14678306
          0,           0,         286,      -14.02580447,      -13.90716792,      -14.16982831
          0,           0,         287,      -14.09645925,       -13.9791746,      -14.26211145
          0,           0,         288,      -14.09477257,      -13.97810075,      -14.22030591
          0,           0,         289,      -14.01793866,      -13.88108152,      -14.15461407
          0,           0,         290,      -14.07080322,      -13.94183509,      -14.17196888
          0,           0,         291,      -14.06151156,      -13.93328297,      -14.12398867
          0,           0,         292,      -14.02180505,      -13.89380635,      -14.12410125
          0,           0,         293,      -14.15943293,      -14.02704786,      -14.21023194
          0,           0,         294,      -14.05595852,      -13.90892214,      -14.15368465
          0,           0,         295,       -14.0477009,      -13.92936822,       -14.1609105
          0,           0,         296,      -13.99085394,      -13.88601979,       -14.1518365
          0,           0,         297,       -14.0026329,      -13.88088319,      -14.09136768
          0,           0,         298,      -14.03731837,      -13.90861947,      -14.18146383
          0,           0,         299,      -14.02762299,      -13.91219553,      -14.12489274
          0,           0,         300,      -14.00201611,      -13.87259138,      -14.10509772
          0,           0,         301,      -14.00522841,      -13.88303919,      -14.12410899
          0,           0,         302,      -14.03929852,      -13.90061387,      -14.09951162
          0,           0,         303,      -14.01343414,      -13.88319248,      -14.12120128
          0,           0,         304,       -14.0444966,      -13.91557628,       -14.1925998
          0,           0,         305,      -14.00518463,      -13.87095684,      -14.10592061
          0,           0,         306,      -14.03185231,      -13.91464045,      -14.17775166
          0,           0,         307,      -14.07200864,      -13.93214147,      -14.15127073
          0,           0,         308,      -14.03865841,      -13.92806892,      -14.14303571
          0,           0,         309,       -14.0437756,      -13.92355179,       -14.1079923
          0,           0,         310,      -14.01246117,      -13.87671973,      -14.10085072
          0,           0,         311,        -13.968452,      -13.84167285,      -14.12168809
          0,           0,         312,      -14.05281672,      -13.92068018,      -14.13310268
          0,           0,         313,      -14.12156882,      -14.01128462,      -14.15547783
          0,           0,         314,      -13.97000211,      -13.84488329,      -14.08987136
          0,           0,         315,      -14.03128172,      -13.88934655,      -14.13990921
          0,           0,         316,      -13.99876935,       -13.8782668,      -14.11184368
          0,           0,         317,      -14.04396633,      -13.92747822,      -14.21588436
          0,           0,         318,      -14.05926867,      -13.92995163,      -14.15507969
          0,           0,         319,      -14.15727189,       -14.0468006,      -14.26571146
          0,           0,         320,      -14.10077268,      -13.96512586,      -14.13438831
          0,           0,         321,      -13.99549584,       -13.8632785,      -14.10325623
          0,           0,         322,      -14.04807794,      -13.91113614,      -14.18466141
          0,           0,         323,      -14.03763392,      -13.92908273,      -14.18040761
          0,           0,         324,      -14.04656491,      -13.93323565,      -14.15851041
