"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
72, 1.650400012730000e-01, -5.337683744874666e-02, 3.995253075048850e-01, -3.193587278990687e-01, 8.199338736793178e-02, 9.960465046800719e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.741864190267854e-02
73, 1.534900069240000e-01, -5.250758460091998e-02, 4.073354319174274e-01, -3.256555624038304e-01, 9.811496340243117e-02, 1.010518823316161e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.576166006548190e-03
74, 1.422899961470000e-01, -5.153873563130328e-02, 3.719498964319574e-01, -2.900046052226355e-01, 1.097992460355594e-01, 9.181507006474370e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.442164477637295e-02
75, 1.314399987460000e-01, -5.046930802259220e-02, 3.035777017373729e-01, -2.221890704787068e-01, 1.164011104372992e-01, 7.465656488297033e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.042195717738005e-01
76, 1.209499984980000e-01, -4.929921195724721e-02, 2.325180692774197e-01, -1.513978893771181e-01, 1.216527373906120e-01, 5.713316808119346e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.989383732333025e-02
77, 1.108499988910000e-01, -4.803122034933904e-02, 1.878889374291265e-01, -1.057299769946935e-01, 1.313128694328235e-01, 4.624779018453030e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.503702688010240e-02
78, 1.011300012470000e-01, -4.666362517995937e-02, 1.753026668433831e-01, -9.070361229713308e-02, 1.477665775687759e-01, 4.314884601368681e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.685865055122700e-02
79, 9.181000292300000e-02, -4.519870122525470e-02, 1.765186087740956e-01, -8.868322741286076e-02, 1.681311287022446e-01, 4.330068478329220e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.271272762492917e-02
80, 8.290000259900000e-02, -4.363786517897707e-02, 1.708345910677863e-01, -7.940972805102346e-02, 1.877438927870674e-01, 4.166549308094808e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.091185935613508e-03
81, 7.440000027400000e-02, -4.198084497402485e-02, 1.523259869399605e-01, -5.682386042794309e-02, 2.050105912102296e-01, 3.689805464433081e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.083590704902881e-02
82, 6.633000075800000e-02, -4.023144625054522e-02, 1.274731192656222e-01, -2.696054053860582e-02, 2.217951191460840e-01, 3.061221107945987e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.482858704212793e-02
83, 5.869000032500000e-02, -3.838976361585496e-02, 1.023971559036589e-01, 4.332493531416815e-03, 2.399778971325501e-01, 2.430094140123799e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.361494276413658e-02
84, 5.149000138000000e-02, -3.645817929293828e-02, 7.729802509616458e-02, 3.703767496323849e-02, 2.595540887008923e-01, 1.799990020311711e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.468858021243139e-02
85, 4.473999887700000e-02, -3.443962331152813e-02, 5.006181800832307e-02, 7.351239845581747e-02, 2.795903179381556e-01, 1.116454696422137e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.873594267127477e-02
86, 3.844000026600000e-02, -3.233421334889111e-02, 1.962629682785486e-02, 1.152430698245300e-01, 2.995973459825073e-01, 3.571714008133953e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.370587911435143e-02
87, 3.260000050100000e-02, -3.014527314487879e-02, -1.376599718128783e-02, 1.624499094693788e-01, 3.193500700263110e-01, -4.743206479175202e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.900401677394318e-02
88, 2.723000012300000e-02, -2.787706940301066e-02, -5.048071380785887e-02, 2.161082236277255e-01, 3.382687450508473e-01, -1.379648125060793e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.525283902876312e-02
89, 2.232000045500000e-02, -2.552503153235120e-02, -9.068709103546167e-02, 2.770756364000486e-01, 3.552867644742011e-01, -2.371019918227149e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.257844557750446e-02
90, 1.789999939500000e-02, -2.310417251744173e-02, -1.348884573840175e-01, 3.467219079901074e-01, 3.688642297859974e-01, -3.443549864968303e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.062526537800610e-02
91, 1.394999958600000e-02, -2.060419728791686e-02, -1.827496370621152e-01, 4.253549953723595e-01, 3.764648248079606e-01, -4.610290874240044e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.829291414440772e-02
92, 1.049000024800000e-02, -1.803770197388953e-02, -2.345424155246970e-01, 5.144072988096933e-01, 3.748622149186310e-01, -5.842830263644225e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.468730337670539e-02
