"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         190,      -10.98243222,      -10.83099682,      -11.34585112,      -10.26266268
          0,           0,         191,      -11.10601567,      -10.89845613,       -11.4159651,      -10.38057234
          0,           0,         192,      -11.22166527,       -10.9639109,      -11.47545449,      -10.49891384
          0,           0,         193,      -11.32940314,      -11.03108454,      -11.54142754,      -10.60820982
          0,           0,         194,      -11.40379428,      -11.09510942,      -11.60096327,      -10.68633832
          0,           0,         195,      -11.43745054,      -11.15288359,      -11.65155695,      -10.73236018
          0,           0,         196,      -11.42827479,      -11.20650813,      -11.69774394,      -10.72408964
          0,           0,         197,      -11.41583158,      -11.25315923,      -11.73410184,      -10.71936463
          0,           0,         198,      -11.38201797,      -11.29191691,      -11.76044105,      -10.68116244
          0,           0,         199,      -11.36509763,      -11.32618504,      -11.78008539,      -10.66987991
          0,           0,         200,      -11.33345607,      -11.35021634,      -11.78875202,      -10.63286533
          0,           0,         201,      -11.32109662,      -11.37425755,      -11.79643443,      -10.62559758
          0,           0,         202,      -11.29548487,      -11.38737222,      -11.79512708,      -10.59455395
          0,           0,         203,      -11.28843864,      -11.40491294,       -11.7978474,      -10.59243545
          0,           0,         204,      -11.26922833,      -11.41133629,      -11.79414227,      -10.56784736
          0,           0,         205,      -11.26212055,      -11.42219325,      -11.77644219,      -10.56568794
          0,           0,         206,      -11.24077158,      -11.42326839,      -11.77717259,       -10.5395929
          0,           0,         207,      -11.23648895,      -11.43093305,      -11.76827815,      -10.54011979
          0,           0,         208,      -11.22206076,      -11.42801285,      -11.77262622,      -10.52049748
          0,           0,         209,      -11.21539016,       -11.4243361,      -11.76534641,      -10.51048088
          0,           0,         210,      -11.20139043,      -11.41229019,      -11.76090427,      -10.49041982
          0,           0,         211,      -11.21835643,      -11.42494571,      -11.77224781,      -10.51669068
          0,           0,         212,      -11.23356789,      -11.43021505,      -11.79697132,      -10.52893452
          0,           0,         213,      -11.24904451,      -11.43329675,       -11.8104215,      -10.53655338
          0,           0,         214,      -11.28578601,      -11.45734662,       -11.8397541,      -10.58107574
          0,           0,         215,       -11.3200631,      -11.47702123,      -11.87501887,      -10.61327716
          0,           0,         216,      -11.35129841,      -11.49619475,      -11.90985426,      -10.63757323
          0,           0,         217,       -11.3986409,      -11.52959047,      -11.94403119,      -10.69176552
          0,           0,         218,      -11.44073729,      -11.56115501,      -11.99120609,      -10.73258304
          0,           0,         219,      -11.47909003,      -11.59125487,      -12.02985136,      -10.76455417
          0,           0,         220,      -11.52994277,        -11.631881,      -12.07104458,      -10.82203419
          0,           0,         221,      -11.57565745,      -11.67091272,      -12.11814955,      -10.86650968
          0,           0,         222,      -11.61549793,      -11.70823397,      -12.16291502,      -10.90043167
          0,           0,         223,      -11.66817169,      -11.75309266,      -12.20411689,      -10.95959666
          0,           0,         224,      -11.71624624,      -11.79717362,      -12.25637547,      -11.00650069
          0,           0,         225,      -11.76179768,       -11.8392782,      -12.30328361,      -11.04596791
          0,           0,         226,      -11.81911364,       -11.8877995,      -12.34972205,      -11.10963047
          0,           0,         227,      -11.87480232,      -11.93542276,      -12.40515142,      -11.16403244
          0,           0,         228,      -11.93046877,       -11.9830104,      -12.46036109,      -11.21364147
          0,           0,         229,       -11.9974956,      -12.03469278,      -12.51065871,      -11.28621594
          0,           0,         230,      -12.06401661,      -12.08706098,      -12.57240128,      -11.35161643
